1,1,1888854,4000000000000000000000,2493654
86401,2,1434755,8400000000000000000000,1058899
172801,3,1005550,13240000000000000000000,2064449
259201,4,650648,18564000000000000000000,2715097
345601,5,399915,24420000000000000000000,3115012
432001,6,344552,30862000000000000000000,3459564
518401,7,336048,37948000000000000000000,3795612
604801,8,278298,45742000000000000000000,4073910
691201,9,281053,54316000000000000000000,4354963
777601,10,289703,63747000000000000000000,4644666
864001,11,297339,74121000000000000000000,4942005
950401,12,303572,85533000000000000000000,5245577
1036801,13,308678,98086000000000000000000,5554255
1123201,14,312914,111895000000000000000000,5867169
1209601,15,349978,127084000000000000000000,6217147
1296001,16,352169,143792000000000000000000,6569316
1382401,17,382222,162171000000000000000000,6951538
1468801,18,410106,182388000000000000000000,7361644
1555201,19,434463,204627000000000000000000,7796107
1641601,20,455735,229090000000000000000000,8251842
